Chipenrich_Colorectal_Cancer	Chipenrich_Alzheimer's_Disease	Chipenrich_Gastric_Cancer	Chipenrich_Prostate_Cancer	Chipenrich_Surrogate_Median_Sensitivity	Broadenrich_Colorectal_Cancer	Broadenrich_Alzheimer's_Disease	Broadenrich_Gastric_Cancer	Broadenrich_Prostate_Cancer	Broadenrich_Surrogate_Median_Sensitivity	Seq2pathway_Colorectal_Cancer	Seq2pathway_Alzheimer's_Disease	Seq2pathway_Gastric_Cancer	Seq2pathway_Prostate_Cancer	Seq2pathway_Surrogate_Median_Sensitivity	Enrichr_Colorectal_Cancer	Enrichr_Alzheimer's_Disease	Enrichr_Gastric_Cancer	Enrichr_Prostate_Cancer	Enrichr_Surrogate_Median_Sensitivity
0.000217699	1.39E-05	0.000217699	0.000217699	0.000217699	1.15E-05	0.005121634	3.70E-13	1.15E-05	1.15484E-05	1	1	1	1	1	0.002556847	0.1529425	0.1302832	0.1302832	0.1302832
4.93E-05	0.000140476	4.93E-05	4.93E-05	4.93255E-05	5.51E-09	0.000608218	6.69E-13	5.51E-09	5.51366E-09	1	1	1	1	1	0.01584688	0.07117367	0.2431267	0.4551901	0.157150185
0.002118244	0.000344497	0.002118244	0.002118244	0.002118244	0.000148257	0.00448134	1.27E-09	0.000148257	0.000148257	1	1	1	1	1	0.01584688	0.07117367	0.2431267	0.4551901	0.157150185
0.008845139	0.04500442	0.008845139	0.008845139	0.008845139	0.003080816	0.000532863	3.98E-12	0.003080816	0.00180684	1	1	1	1	1	0.02446288	0.6831808	0.3465165	0.3465165	0.3465165
3.39E-05	0.009206884	3.39E-05	3.39E-05	3.39178E-05	0.003709745	0.01058781	8.29E-10	0.01339191	0.007148778	0.3881048	1	1	1	1	0.2804598	0.331676	0.2804598	0.6772962	0.3060679
0.000250164	8.20E-05	0.000250164	0.000250164	0.000250164	0.000123018	0.000221367	3.39E-10	0.000123018	0.000123018	1	1	1	1	1	0.4112051	0.3698103	0.3111016	0.06880986	0.34045595
0.000542526	0.001309348	0.000542526	0.000542526	0.000542526	8.94E-05	0.000521571	6.26E-12	8.94E-05	8.93773E-05	1	1	1	1	1	0.1171594	0.1529425	0.4551901	0.3296946	0.24131855
0.000353446	0.002023773	0.000353446	0.000353446	0.000353446	6.68E-07	0.01614726	4.43E-09	6.68E-07	6.68109E-07	1	1	1	1	1	0.09948318	0.3698103	0.09948318	0.2806207	0.19005194
0.000363793	0.000195105	0.000363793	0.000363793	0.000363793	0.02080546	0.05175127	4.97E-06	0.03631959	0.028562525	1	1	1	1	1	0.005008495	0.07117367	0.005008495	0.3296946	0.038091083
0.000699827	0.001376229	0.000699827	0.000699827	0.000699827	8.16E-05	0.006196458	2.71E-10	8.16E-05	8.15944E-05	1	1	1	1	1	0.07538976	0.03000122	0.1302832	0.1302832	0.10283648
1.95E-05	0.00666193	1.95E-05	1.95E-05	1.95267E-05	0.000721573	0.04613257	1.26E-08	0.003584621	0.002153097	0.4863281	1	1	1	1	0.09230373	0.09230373	0.1238529	0.09230373	0.09230373
0.000343065	0.000377224	0.000343065	0.000343065	0.000343065	1.40E-05	0.00467936	1.15E-13	1.40E-05	1.39619E-05	1	1	1	1	1	0.2670024	0.2670024	0.3111016	0.2670024	0.2670024
2.35E-05	0.000368586	2.35E-05	2.35E-05	2.35373E-05	6.23E-08	0.02317624	2.89E-10	6.23E-08	6.23094E-08	1	1	1	1	1	0.07538976	0.1364493	0.262227	0.1635064	0.14997785
0.000164332	0.000126766	0.000164332	0.000164332	0.000164332	0.000440077	0.004783494	2.43E-10	0.000440077	0.000440077	1	1	1	1	1	0.4856153	0.07117367	0.5098541	0.6561326	0.4977347
0.000417038	0.002043889	0.000417038	0.000417038	0.000417038	3.04E-09	0.001083966	7.78E-12	3.04E-09	3.04021E-09	1	1	1	1	1	0.01584688	0.004155643	0.0922709	0.04815814	0.03200251
7.41E-05	0.0281246	7.41E-05	7.41E-05	7.41213E-05	0.00032717	0.003719436	4.11E-08	0.00032717	0.00032717	1	1	1	1	1	0.1171594	0.1635064	0.2804598	0.1635064	0.1635064
0.001917169	0.000105486	0.001917169	0.001917169	0.001917169	2.81E-05	0.000569874	1.41E-11	0.001520741	0.000298983	1	1	1	1	1	0.440893	0.3698103	0.440893	0.440893	0.440893
1.31E-05	0.000316979	1.31E-05	1.31E-05	1.30665E-05	2.23E-05	0.002756803	7.17E-11	2.23E-05	2.23025E-05	1	1	1	1	1	0.000325717	0.4998609	0.4112051	0.5912392	0.455533
7.07E-05	0.003168347	7.07E-05	7.07E-05	7.06961E-05	3.27E-05	0.02116588	1.15E-08	3.27E-05	3.27456E-05	1	1	1	1	1	0.07538976	0.004155643	0.4266608	0.2858527	0.18062123
0.000216957	0.002358868	0.000216957	0.000216957	0.000216957	0.001739329	0.03491889	4.07E-09	0.002367426	0.002053378	1	1	1	1	1	0.07538976	0.07117367	0.1302832	0.1302832	0.10283648
1.40E-05	0.000463587	1.40E-05	1.40E-05	1.39519E-05	2.06E-07	0.002916331	3.10E-12	0.001423777	0.000711991	1	1	1	1	1	0.01584688	0.03000122	0.2806207	0.2806207	0.15531096
0.000101196	0.002676158	0.000101196	0.000101196	0.000101196	0.000298354	0.007057622	6.51E-09	0.000298354	0.000298354	1	1	1	1	1	0.01584688	0.1529425	0.2431267	0.4266608	0.1980346
0.000788251	0.003580528	0.000788251	0.000788251	0.000788251	0.000231642	0.006760842	7.62E-09	0.000231642	0.000231642	1	1	1	1	1	0.01584688	0.03000122	0.4551901	0.4551901	0.24259566
0.002496173	0.000413108	0.002496173	0.002496173	0.002496173	0.001419324	0.01172571	1.13E-09	0.002068812	0.001744068	1	1	1	1	1	0.002556847	0.03000122	0.2806207	0.2806207	0.15531096
0.00016224	0.000532434	0.00016224	0.00016224	0.00016224	0.001511146	0.005286404	9.78E-08	0.004888585	0.003199866	1	1	1	1	1	0.01584688	0.03000122	0.4551901	0.401226	0.21561361
0.000145165	0.000650454	0.000145165	0.000145165	0.000145165	0.004798002	0.002336592	2.96E-07	0.004798002	0.003567297	1	1	1	1	1	0.07841726	0.1529425	0.4165642	0.1910411	0.1719918
0.002243718	0.00432121	0.002243718	0.002243718	0.002243718	0.002462981	0.003976485	0.002462981	0.002462981	0.002462981	1	1	1	1	1	0.07538976	0.5546326	0.0922709	0.0922709	0.0922709
0.004778235	0.0573326	0.00181569	0.05073376	0.027755998	0.004548144	0.000317789	0.004548144	0.004548144	0.004548144	0.6173362	1	1	0.4185874	0.8086681	0.1302832	0.401226	0.1302832	0.1302832	0.1302832
0.008578088	0.04039819	0.008578088	0.008578088	0.008578088	0.001265931	0.03511326	0.001265931	0.001265931	0.001265931	1	1	1	1	1	0.07538976	0.2903292	0.1683094	0.1683094	0.1683094
0.01708532	0.006492219	0.01708532	0.01708532	0.01708532	0.000546336	0.06508774	0.000546336	0.000546336	0.000546336	1	1	1	1	1	0.2670024	0.008342516	0.3985373	0.2670024	0.2670024
