ID_REF,GSM313235,GSM313236,GSM313237,GSM313238,GSM313239,GSM313240,GSM313241,GSM313242,GSM313243,GSM313244,GSM313245,GSM313246,GSM313247,GSM313248,GSM313249,GSM313250,GSM313251,GSM313252,GSM313253,GSM313254,GSM313255,GSM313256,GSM313257,GSM313258,GSM313259,GSM313260,GSM313261,GSM313262
40617,10.02205,9.5571,9.8485,9.7874,10.206,9.4096,9.8983,10.0535,9.86855,9.9304,9.9634,10.1381,9.8984,9.7622,9.79625,9.49185,9.45335,9.5277,9.81485,9.3581,10.294,9.69125,9.3515,9.65985,9.8128,9.8776,9.26715,9.89405
40618,10.0991,10.247,10.5055,10.4825,9.6282,9.8691,10.502,10.252,10.365,10.2215,9.4124,10.07115,9.6117,9.89545,10.6625,10.08985,10.3735,10.573,10.1201,10.2243,9.6017,10.224,10.18425,10.3127,10.22805,9.8532,9.97165,10.228
40622,8.03855,8.16945,8.45065,7.7729,8.60235,8.18195,8.46465,9.0954,8.36775,8.4934,9.1711,8.6055,7.9496,8.9011,8.2118,8.18755,7.744,7.42795,9.29505,7.9294,7.9861,7.6187,7.6596,8.2641,8.171,8.28375,8.03435,8.11805
40624,10.421,10.343,10.12925,10.293,10.1585,9.25775,10.2805,10.486,10.6865,10.037,10.484,11.0645,9.86045,10.172,10.4705,10.576,9.9195,10.0678,10.18525,9.81775,10.185,10.00625,9.77385,10.427,10.18805,10.3285,10.024,10.0024
40627,7.0232,7.0153,7.0877,8.2297,7.29415,9.3267,7.28555,7.68625,7.41445,8.3137,7.6032,7.3198,7.2457,7.1555,7.32855,7.24295,8.46425,8.1365,7.35,8.40005,8.20045,7.5913,9.23905,7.68485,8.2047,6.88515,9.3412,7.2654
40634,8.0532,7.72755,7.9017,7.63005,7.70465,7.0592,8.24025,8.04305,7.8733,7.33055,7.59605,8.24895,7.5916,7.75575,7.56725,7.5971,7.3888,7.37125,7.62435,7.3144,7.51345,7.8597,7.5929,8.1657,6.8017,7.89625,7.2773,8.05005
40641,7.3081,7.28955,6.9899,7.74215,7.33845,7.9307,7.3334,7.47445,7.35255,7.7004,7.6735,7.3712,7.327,7.49495,7.30525,7.24825,7.671,7.50765,7.46165,8.0669,7.8188,7.68515,8.1097,7.4406,7.75625,7.3473,8.3017,7.51845
40643,10.3574,10.441,10.25175,10.5615,10.06505,9.40155,10.1619,10.2385,10.1389,9.9106,10.11005,10.1326,10.5545,10.15065,10.79,10.554,10.4542,10.3385,10.41,10.0336,10.07765,10.418,9.3874,10.06185,10.1155,10.496,9.82275,10.3095
40650,8.51665,8.54385,8.14145,8.20355,8.7545,7.92605,8.8105,8.6034,8.2005,8.81375,8.5593,8.33215,8.2374,8.5045,7.93525,8.07445,7.5895,7.77595,8.467,8.20005,8.7231,8.47555,7.939,8.77045,8.3293,8.7041,7.99065,8.27465
40654,11.987,11.624,12.137,12.116,11.0875,11.1235,12.8215,12.1035,12.4535,11.938,11.1195,12.4665,11.6925,11.1315,11.62,11.61,11.421,12.278,11.6545,11.1355,11.2145,11.985,12.6145,12.5615,12.712,11.9785,11.27,12.484
40656,8.0882,8.1071,7.9175,8.28345,8.37725,7.34135,7.9124,8.13065,8.2119,8.02755,8.4218,7.95675,8.5236,8.18405,8.59545,8.60515,7.92435,7.505,8.3462,7.7324,7.90115,8.13745,7.59875,7.9034,7.7642,8.24025,7.6468,8.2984
40659,8.331,8.3747,8.18285,8.48335,8.7803,7.02275,8.456,8.98375,8.54505,7.7321,8.88685,8.43605,8.5525,8.20805,8.70015,8.7701,7.9274,8.3415,8.6793,7.79155,7.7551,8.613,7.51845,8.39955,8.49735,8.45445,7.0716,8.3731
40662,6.98065,7.23995,6.84395,8.03445,7.3155,8.0147,6.94605,7.1224,7.20045,7.94685,6.9353,7.2221,7.07635,7.51455,6.90335,7.395,8.2805,8.02425,7.3076,7.52015,7.2999,7.13635,8.46365,7.19205,7.9189,7.4337,8.5977,6.81915
